"Feature_Name","Median_Accuracy"
"avgOrderIn",0.881264916
"stdOrderIn",0.881264916
"first30Out",0.881861575
"medPerSec",0.883651551
"stdTimeIn",0.88424821
"first30In",0.884844869
"maxPerSec",0.884844869
"last30Out",0.885441527
"medConc",0.885441527
"per100Out",0.885441527
"stdConc",0.885441527
"avgOrderOut",0.886038186
"maxConc",0.886038186
"minPerSec",0.886038186
"avgTimeOut",0.886634845
"maxTimeIn",0.886634845
"per100In",0.886634845
"stdPerSec",0.886634845
"avgConc",0.887231504
"per75TimeOut",0.887231504
"per75Total",0.887231504
"perIn",0.887231504
"stdTimeTotal",0.887231504
"sumNumPack",0.887231504
"sumTimeStats",0.887231504
"avgAltPerSec",0.887828162
"avgPerSec",0.887828162
"per25Total",0.887828162
"sumAltConc",0.887828162
"avgAltConc",0.888424821
"per100Total",0.888424821
"per25In",0.888424821
"per50In",0.888424821
"per50Out",0.888424821
"per50Total",0.888424821
"per75In",0.888424821
"per75TimeIn",0.888424821
"per75TimeTotal",0.888424821
"sumInterTimeStats",0.888424821
"avgTimeTotal",0.88902148
"maxTimeOut",0.88902148
"packCountIn",0.88902148
"per25Out",0.88902148
"per75Out",0.88902148
"perOut",0.88902148
"stdTimeOut",0.88902148
"maxTimeTotal",0.889618138
"packCountTotal",0.889618138
"sumAltPerSec",0.889618138
"avgTimeIn",0.890214797
"last30In",0.890214797
"packCountOut",0.891408115
"stdOrderOut",0.891408115
